to,from,weight,gespraeche,relation,dauer
A,B,na,na,na,na
A,C,na,na,na,na
A,D,na,na,na,na
A,E,1,1,8,2
B,A,na,na,na,na
B,C,na,na,na,na
B,D,na,na,na,na
B,E,1,1,8,1
C,A,na,na,na,na
C,B,na,na,na,na
C,D,na,na,na,na
C,E,3,1,7,3
D,A,na,na,na,na
D,B,na,na,na,na
D,C,na,na,na,na
D,E,1,1,1,1
E,A,1,1,8,2
E,B,1,1,8,1
E,C,3,1,3,3
E,D,1,1,1,1
